Título,Descripción,Calificación de riesgo
La autenticación multifactor (MFA) no está habilitada para todos los usuarios con roles no administrativos,"La autenticación multifactor requiere que una persona presente un mínimo de dos formas de autenticación distintas antes de que se le conceda el acceso. La autenticación multifactor proporciona una garantía adicional de que la persona que intenta obtener acceso es quien dice ser. Con la autenticación multifactor, un atacante tendría que comprometer al menos dos mecanismos de autenticación diferentes, lo que aumenta la dificultad de la vulneración y, por lo tanto, reduce el riesgo.",Alto
Microsoft Authenticator no está configurado para proteger contra la fatiga de MFA,"A medida que el uso de la autenticación fuerte se ha generalizado, los atacantes han comenzado a explotar la tendencia de los usuarios a experimentar ""fatiga de MFA"". Esto ocurre cuando se les pide repetidamente a los usuarios que proporcionen formas adicionales de identificación, lo que los lleva a aprobar solicitudes sin verificar completamente la fuente. Para contrarrestar esto, se puede emplear la coincidencia de números para garantizar la seguridad del proceso de autenticación. Con este método, se solicita a los usuarios que confirmen un número que se muestra en su dispositivo original y lo ingresen en el dispositivo que se utiliza para la MFA. Además, se muestra otra información como la geolocalización y los detalles de la aplicación para mejorar la conciencia del usuario final. Entre estas 3 opciones, la coincidencia de números proporciona la mayor ganancia de seguridad neta.",Alto
Se debe exigir a los administradores una MFA resistente al phishing,"Los ataques sofisticados dirigidos a la autenticación multifactor son cada vez más frecuentes a medida que su uso se generaliza. Estos tres métodos se consideran resistentes al phishing, ya que eliminan las contraseñas del flujo de trabajo de inicio de sesión. También garantizan que el intercambio de claves públicas y privadas solo pueda ocurrir entre los dispositivos y un proveedor registrado, lo que evita el inicio de sesión en sitios web falsos o de phishing.",Alto
No existen políticas de acceso condicional para bloquear la autenticación heredada,Los protocolos de autenticación heredados no admiten la autenticación multifactor. Los atacantes suelen utilizar estos protocolos debido a esta deficiencia. El bloqueo de la autenticación heredada dificulta el acceso de los atacantes.,Alto
Las restricciones de acceso de los usuarios invitados no están configuradas en 'El acceso de los usuarios invitados está restringido a las propiedades y membresías de sus propios objetos de directorio',"Limitar el acceso de invitados garantiza que las cuentas de invitados no tengan permiso para determinadas tareas de directorio, como enumerar usuarios, grupos u otros recursos de directorio, y no se les puedan asignar funciones administrativas en su directorio. El acceso de invitados tiene tres niveles de restricción. 1. Los usuarios invitados tienen el mismo acceso que los miembros (la mayoría incluyentes) 2. Los usuarios invitados tienen acceso limitado a las propiedades y membresías de los objetos de directorio 3. El acceso de los usuarios invitados está restringido a las propiedades y membresías de sus propios objetos de directorio La opción recomendada es la tercera, la más restrictiva: 'El acceso de los usuarios invitados está restringido a su propio objeto de directorio'",Alto
Los proveedores de almacenamiento adicionales no están restringidos en Outlook en la Web,"De forma predeterminada, se permiten proveedores de almacenamiento adicionales en Office en la Web (como Box, Dropbox, Facebook, Google Drive, OneDrive Personal, etc.). Esto podría provocar fugas de información y un riesgo adicional de infección por parte de proveedores de almacenamiento no confiables de la organización. Restringir esto reducirá inherentemente el riesgo, ya que reducirá las oportunidades de infección y fuga de datos.",Alto
Las restricciones de invitación de invitados no están configuradas en 'Solo los usuarios asignados a roles de administrador específicos pueden invitar a usuarios invitados',"Restringir las invitaciones a usuarios con roles de administrador específicos garantiza que solo las cuentas autorizadas tengan acceso a los recursos de la nube. Esto ayuda a mantener los permisos de ""necesidad de saber"" y evita el acceso involuntario a los datos. De forma predeterminada, la configuración Restricciones de invitación de invitados está establecida en Cualquier persona de la organización puede invitar a usuarios invitados, incluidos invitados y no administradores. Esto permitiría que cualquier persona dentro de la organización invite a invitados y no administradores al inquilino, lo que representa un riesgo de seguridad.",Alto
Asegúrese de que la frecuencia de inicio de sesión esté habilitada y que las sesiones del navegador no sean persistentes para los usuarios administrativos,"Forzar un tiempo de espera para MFA ayudará a garantizar que las sesiones no se mantengan activas por un período de tiempo indefinido, garantizar que las sesiones del navegador no sean persistentes ayudará a prevenir ataques drive-by en los navegadores web, esto también evita la creación y el guardado de cookies de sesión sin dejar nada para que un atacante pueda tomar.",Alto
Los participantes externos pueden ceder o solicitar control,Asegurarse de que sólo personas autorizadas y no participantes externos puedan presentar y solicitar control reduce el riesgo de que un usuario malintencionado pueda mostrar inadvertidamente contenido que no sea apropiado.,Alto
Los usuarios no pueden informar problemas de seguridad en Teams,"Los usuarios podrán alertar de forma más rápida y sistemática a los administradores sobre mensajes maliciosos sospechosos dentro de Teams. El contenido de estos mensajes puede ser de naturaleza confidencial y, por lo tanto, debe mantenerse dentro de la organización y no compartirse con Microsoft sin consultar primero la política de la empresa.",Alto
Los usuarios anónimos pueden unirse a una reunión,"En el caso de reuniones que puedan contener información confidencial, es mejor permitir que el organizador de la reunión investigue a cualquier persona que no haya recibido una invitación directamente antes de admitirla en la reunión. Esto también evitará que el usuario anónimo use el enlace de la reunión para tener reuniones en horarios no programados.",Alto
"No sólo pueden presentar los organizadores y coorganizadores, sino también otros usuarios.",Asegurarse de que sólo personas autorizadas puedan realizar presentaciones reduce el riesgo de que un usuario malintencionado pueda mostrar inadvertidamente contenido que no sea apropiado.,Alto
Asegúrese de que la administración de Microsoft Azure esté limitada a roles administrativos,"El bloqueo del inicio de sesión en las aplicaciones y portales de administración de Azure mejora la seguridad de los datos confidenciales al restringir el acceso a usuarios privilegiados. Esto mitiga la posible exposición debido a errores administrativos o vulnerabilidades de software, además de actuar como una medida de defensa en profundidad contra las brechas de seguridad.",Alto
Los usuarios pueden enviar correos electrónicos a una dirección de correo electrónico del canal,Las direcciones de correo electrónico de los canales no están bajo el dominio del inquilino y las organizaciones no tienen control sobre la configuración de seguridad de esta dirección de correo electrónico. Un atacante podría enviar correos electrónicos a los canales directamente si descubre la dirección de correo electrónico del canal.,Alto
El chat de la reunión permite a los usuarios anónimos,Asegurarse de que solo las personas autorizadas puedan leer y escribir mensajes de chat durante una reunión reduce el riesgo de que un usuario malintencionado pueda mostrar inadvertidamente contenido que no sea apropiado o ver información confidencial.,Alto
Los usuarios que llamen pueden omitir el lobby,"En el caso de reuniones que puedan contener información confidencial, es mejor permitir que el organizador de la reunión investigue a cualquier persona que no pertenezca directamente a la organización.",Alto
Todo el mundo puede pasar por alto el vestíbulo.,"En el caso de reuniones que puedan contener información confidencial, es mejor permitir que el organizador de la reunión investigue a cualquier persona que no haya recibido una invitación directamente antes de admitirla en la reunión. Esto también evitará que el usuario anónimo use el enlace de la reunión para tener reuniones en horarios no programados.",Alto
Los 'servicios de almacenamiento de terceros' no están restringidos en 'Microsoft 365 en la web',"Al utilizar servicios de almacenamiento externo, una organización puede aumentar el riesgo de que se produzcan violaciones de datos y accesos no autorizados a información confidencial. Además, es posible que los servicios de terceros no cumplan con los mismos estándares de seguridad que la organización, lo que dificulta mantener la privacidad y la seguridad de los datos.",Alto
¡La integración de SharePoint y OneDrive con Azure AD B2B no está habilitada!,"Los usuarios externos a los que se les asignen cuentas de invitado estarán sujetos a las políticas de acceso de Azure AD, como la autenticación multifactor. Esto proporciona una manera de administrar las identidades de los invitados y controlar el acceso a los recursos de SharePoint y OneDrive. Sin esta integración, los archivos se pueden compartir sin registro de cuenta, lo que dificulta la auditoría y la administración de quién tiene acceso a los datos de la organización.",Alto
¡La reautenticación con código de verificación no está restringida!,"Al aumentar la frecuencia con la que los invitados necesitan volver a autenticarse, se garantiza que el acceso de los usuarios invitados a los datos no se prolongue más allá de un período de tiempo aceptable.",Alto
¡La autenticación moderna para Microsoft Sharepoint está deshabilitada!,"Los controles de autenticación fuertes, como el uso de autenticación multifactor, pueden eludirse si las aplicaciones de SharePoint utilizan la autenticación básica. Exigir una autenticación moderna para las aplicaciones de SharePoint garantiza que se utilicen mecanismos de autenticación fuertes al establecer sesiones entre estas aplicaciones, SharePoint y los usuarios que se conectan.",Alto
El acceso de invitado a un sitio o OneDrive no caduca automáticamente,Esta configuración garantiza que los invitados que ya no necesiten acceder al sitio o al enlace ya no tengan acceso después de un período de tiempo determinado. Permitir el acceso de invitados por un período de tiempo indefinido podría provocar la pérdida de confidencialidad y supervisión de los datos.,Alto
Las aplicaciones y servicios propiedad del usuario no están restringidos,"Los atacantes suelen utilizar complementos vulnerables y personalizados para acceder a los datos de las aplicaciones de los usuarios. Si bien permitir que los usuarios instalen complementos por sí mismos les permite adquirir fácilmente complementos útiles que se integran con las aplicaciones de Microsoft, puede representar un riesgo si no se utiliza y supervisa con cuidado. Deshabilitar la capacidad de los futuros usuarios de instalar complementos en Microsoft Word, Excel o PowerPoint ayuda a reducir la superficie de amenaza y mitigar este riesgo.",Alto
Asegúrese de que las cuentas administrativas sean independientes y solo estén en la nube,"Si se garantiza que las cuentas administrativas sean solo para la nube, sin aplicaciones asignadas a ellas, se reducirá la superficie de ataque de las identidades con privilegios elevados en su entorno. Para participar en los servicios de seguridad de Microsoft 365, como Identity Protection, PIM y Conditional Access, una cuenta administrativa necesitará una licencia asociada. Asegúrese de que la licencia utilizada no incluya ninguna aplicación con servicios potencialmente vulnerables mediante el uso de Microsoft Entra ID P1 o Microsoft Entra ID P2 para la cuenta solo para la nube con funciones de administrador.",Alto
¡El tiempo de espera de sesión inactiva para dispositivos no administrados no está configurado en 3 horas o menos!,La finalización automática de sesiones inactivas puede ayudar a proteger los datos confidenciales de la empresa y agregará otra capa de seguridad para los usuarios finales que trabajan en dispositivos no administrados a los que potencialmente puede acceder el público. Las personas no autorizadas que se encuentran en el sitio o de forma remota pueden aprovecharse de los sistemas que se dejan desatendidos durante un tiempo. La finalización automática de las sesiones dificulta esto.,Medio
¡Se permite el consentimiento del usuario para que las aplicaciones accedan a datos de la empresa en su nombre!,"Los atacantes suelen utilizar aplicaciones personalizadas para engañar a los usuarios y conseguir que les concedan acceso a los datos de la empresa. Deshabilitar la configuración de futuras operaciones de consentimiento del usuario mitiga este riesgo y ayuda a reducir la superficie de amenaza. Si se deshabilita el consentimiento del usuario, se respetarán las concesiones de consentimiento anteriores, pero todas las operaciones de consentimiento futuras deberán ser realizadas por un administrador.",Medio
El consentimiento del usuario para las aplicaciones no está configurado en: 'No permitir el consentimiento del usuario',"Si Microsoft Entra ID se ejecuta como proveedor de identidad para aplicaciones de terceros, los permisos y el consentimiento deben limitarse a los administradores o deben contar con la aprobación previa. Las aplicaciones malintencionadas pueden intentar extraer datos o abusar de las cuentas de usuarios con privilegios.",Medio
Permitir que los usuarios recuerden la autenticación multifactor en dispositivos en los que confían está habilitado,"Recordar la autenticación multifactor (MFA) para dispositivos y navegadores permite a los usuarios tener la opción de omitir la MFA durante una cantidad determinada de días después de iniciar sesión correctamente con MFA. Esto puede mejorar la usabilidad al minimizar la cantidad de veces que un usuario puede necesitar realizar la verificación en dos pasos en el mismo dispositivo. Sin embargo, si una cuenta o un dispositivo se ve comprometido, recordar la MFA para dispositivos confiables puede afectar la seguridad. Por lo tanto, se recomienda que no se permita a los usuarios omitir la MFA.",Medio
'¿Notificar a los usuarios sobre el restablecimiento de contraseñas?' está configurado en 'No',La notificación al usuario sobre el restablecimiento de contraseña es una forma proactiva de confirmar la actividad de restablecimiento de contraseña. Ayuda al usuario a reconocer actividades de restablecimiento de contraseña no autorizadas.,Medio
No se ha configurado ninguna lista de contraseñas incorrectas personalizada como 'Aplicar' para su organización,"Al habilitar esta opción, su organización podrá personalizar aún más las contraseñas seguras permitidas. Al configurar una lista de contraseñas incorrectas, su organización podrá ajustar aún más su política de contraseñas, según sus necesidades. Al eliminar las contraseñas fáciles de adivinar, aumenta la seguridad del acceso a sus recursos de Azure.",Medio
No se utiliza ninguna lista personalizada de contraseñas incorrectas dentro de su organización,"Crear una nueva contraseña puede ser difícil, independientemente de los conocimientos técnicos de una persona. Es habitual buscar sugerencias en el entorno al crear una contraseña, pero esto puede incluir la elección de palabras específicas de la organización como inspiración para la contraseña. Un adversario puede emplear lo que se denomina un ""mangler"" para crear permutaciones de estas palabras específicas en un intento de descifrar contraseñas o hashes para facilitar el logro de su objetivo.",Medio
Las direcciones de correo electrónico adicionales no están configuradas con ningún correo electrónico de contacto de seguridad,"Microsoft Defender for Cloud envía un correo electrónico al propietario de la suscripción para notificarle sobre las alertas de seguridad. Si agrega la dirección de correo electrónico de su contacto de seguridad al campo ""Direcciones de correo electrónico adicionales"", se asegurará de que el equipo de seguridad de su organización esté incluido en estas alertas. Esto garantiza que las personas adecuadas estén al tanto de cualquier posible riesgo para mitigarlo de manera oportuna.",Medio
Los usuarios invitados deben ser evaluados periódicamente,"Los usuarios invitados en Azure AD son generalmente necesarios para fines de colaboración en Office 365 y también pueden ser necesarios para funciones de Azure en empresas con varios inquilinos de Azure. Los usuarios invitados deben revisarse periódicamente, al menos una vez al año. A los usuarios invitados no se les deben otorgar roles administrativos siempre que sea posible. Los usuarios invitados generalmente se agregan fuera del proceso de incorporación o salida de empleados y podrían pasarse por alto indefinidamente, lo que genera una posible vulnerabilidad. Los usuarios invitados deben revisarse mensualmente para garantizar que se eliminen las cuentas inactivas e innecesarias.",Medio
¡El acceso externo no está restringido en el centro de administración de Teams!,"Permitir que los usuarios se comuniquen con usuarios de Skype o Teams fuera de una organización presenta una posible amenaza a la seguridad, ya que los usuarios externos pueden interactuar con usuarios de la organización a través de Skype Empresarial o Teams. Si bien existen escenarios legítimos que mejoran la productividad, estos se ven superados por el riesgo de pérdida de datos, phishing y ataques de ingeniería social contra usuarios de la organización a través de Teams. Por lo tanto, se recomienda restringir las comunicaciones externas para minimizar el riesgo de incidentes de seguridad.",Medio
La auditoría de buzones de correo no está habilitada para todos los usuarios,La aplicación de la configuración predeterminada garantiza que la auditoría no se haya desactivado de forma intencional o accidental. La auditoría de las acciones del buzón de correo permitirá a los equipos forenses y de IR rastrear diversas actividades maliciosas que pueden generar TTP causados ​​por el acceso a la bandeja de entrada y la manipulación.,Medio
Asegúrese de que DKIM esté habilitado para todos los dominios de Exchange Online,"Al habilitar DKIM con Office 365, los mensajes que se envían desde Exchange Online se firmarán criptográficamente. Esto permitirá que el sistema de correo electrónico receptor valide que los mensajes fueron generados por un servidor autorizado por la organización y no fueron falsificados.",Medio
¡No hay políticas de clasificación de datos de SharePoint Online establecidas!,"Al categorizar y aplicar protección basada en políticas, las políticas de clasificación de datos de SharePoint Online pueden ayudar a reducir el riesgo de pérdida o exposición de datos y permitir una respuesta a incidentes más eficaz si ocurre una infracción.",Medio
¡Ya está disponible el uso compartido externo de calendarios!,"Los atacantes suelen dedicar tiempo a conocer las organizaciones antes de lanzar un ataque. Los calendarios disponibles públicamente pueden ayudar a los atacantes a comprender las relaciones entre las organizaciones y determinar cuándo determinados usuarios pueden ser más vulnerables a un ataque, como cuando están de viaje.",Medio
Las formas de reenvío de correo no están bloqueadas y/o deshabilitadas,"Los atacantes suelen crear estas reglas para extraer datos de su arrendamiento, lo que se puede lograr mediante el acceso a una cuenta de usuario final o de otro modo. Un atacante también podría utilizar uno de estos métodos como canal secundario para extraer datos confidenciales.",Medio
¡La política DLP no está habilitada!,"La habilitación de políticas DLP alerta a los usuarios y administradores sobre tipos específicos de datos que no deben exponerse, lo que ayuda a proteger los datos de una exposición accidental.",Medio
¡La auditoría de buzones de correo para usuarios de E3 no está habilitada!,"Ya sea para el cumplimiento normativo o para rastrear cambios de configuración no autorizados en Microsoft 365, habilitar la auditoría de buzones y garantizar que se tengan en cuenta las acciones adecuadas en los buzones permite que los equipos de Microsoft 365 ejecuten operaciones de seguridad, análisis forenses o investigaciones generales sobre las actividades de los buzones.",Medio
Se encontraron grupos públicos de Microsoft 365,"Asegúrese de que solo existan grupos públicos aprobados y administrados por la organización. Cuando un grupo tiene una privacidad ""Pública"", los usuarios pueden acceder a los datos relacionados con este grupo. Los administradores reciben una notificación cuando un usuario usa el Portal de Azure. Solicitar acceso al grupo obliga a los usuarios a enviar un mensaje al propietario del grupo, pero aún tienen acceso inmediato al grupo. La URL de SharePoint suele ser adivinable y se puede encontrar en la aplicación Grupo del Panel de acceso. Si no se controla la privacidad del grupo, cualquier usuario puede acceder a información confidencial, según el grupo al que intente acceder.",Bajo
Notificar sobre alertas con la siguiente gravedad no está configurado como Alto,"Al habilitar los correos electrónicos de alerta de seguridad, se garantiza que Microsoft los reciba. Esto garantiza que las personas adecuadas estén al tanto de cualquier problema de seguridad potencial y puedan mitigar el riesgo.",Bajo
La cantidad de métodos necesarios para restablecer una contraseña no está establecida en 2 o más métodos,"Un restablecimiento de contraseña de autoservicio (SSPR) a través de la autenticación multifactor (MFA) de Azure garantiza que la identidad del usuario se confirme mediante dos métodos de identificación independientes. Si se configuran varios métodos, un atacante tendría que poner en riesgo ambos métodos antes de poder restablecer maliciosamente la contraseña de un usuario.",Bajo
Los valores predeterminados de seguridad están deshabilitados en Microsoft Entra ID,Los valores predeterminados de seguridad en Azure Active Directory (Azure AD) facilitan la seguridad y ayudan a proteger su organización. Los valores predeterminados de seguridad contienen configuraciones de seguridad preconfiguradas para ataques comunes.,Bajo
Los valores predeterminados de seguridad no están habilitados en el inquilino de Azure Active Directory,Los valores predeterminados de seguridad en Azure Active Directory (Azure AD) facilitan la seguridad y ayudan a proteger su organización. Los valores predeterminados de seguridad contienen configuraciones de seguridad preconfiguradas para ataques comunes.,Bajo
¡No se crea ningún grupo dinámico para usuarios invitados!,"Los grupos dinámicos permiten un método automatizado para asignar la membresía del grupo. Las cuentas de usuario invitado se agregarán automáticamente a este grupo y, a través de las reglas de acceso condicional existentes, los controles de acceso y otras medidas de seguridad garantizarán que las nuevas cuentas de invitado estén restringidas de la misma manera que las cuentas de invitado existentes.",Bajo
No existe alerta de registro de actividad para crear o actualizar grupos de seguridad de red,La supervisión de eventos de creación o actualización de grupos de seguridad de red proporciona información sobre los cambios en el acceso a la red y puede reducir el tiempo necesario para detectar actividad sospechosa.,Bajo
Los sways se pueden compartir con personas fuera de su organización,Deshabilite el uso compartido externo de documentos de Sway que puedan contener información confidencial para evitar fugas de datos accidentales o arbitrarias.,Bajo
Las contraseñas no están configuradas para no caducar nunca,"Organizaciones como NIST y Microsoft han actualizado sus recomendaciones sobre políticas de contraseñas para no exigir arbitrariamente a los usuarios que cambien sus contraseñas después de un período de tiempo específico, a menos que haya evidencia de que la contraseña está comprometida o el usuario la olvidó. Sugieren esto incluso para casos de uso de un solo factor (solo contraseña), con el razonamiento de que forzar cambios arbitrarios de contraseñas a los usuarios en realidad hace que las contraseñas sean menos seguras. Otras recomendaciones dentro de este Benchmark sugieren el uso de autenticación MFA para al menos cuentas críticas (como mínimo), lo que hace que la expiración de contraseñas sea aún menos útil, así como la protección de contraseñas para Azure AD.",Bajo
Las políticas de correo no deseado de Exchange Online no están configuradas para notificar a los administradores,Una cuenta bloqueada es un buen indicio de que la cuenta en cuestión ha sido violada y un atacante la está utilizando para enviar correos electrónicos spam a otras personas.,Bajo
¡La autenticación moderna para Exchange Online está deshabilitada!,"Los controles de autenticación fuertes, como el uso de autenticación multifactor, se pueden eludir si los clientes de correo electrónico de Exchange Online, como Outlook 2016 y Outlook 2013, utilizan la autenticación básica. Habilitar la autenticación moderna para Exchange Online garantiza que se utilicen mecanismos de autenticación fuertes al establecer sesiones entre clientes de correo electrónico y Exchange Online.",Bajo
¡Las reglas de transporte de correo incluyen dominios específicos en la lista blanca!,"La inclusión de dominios en la lista blanca de reglas de transporte evita el análisis habitual de malware y phishing, lo que puede permitir que un atacante lance ataques contra sus usuarios desde un dominio de refugio seguro.",Bajo
No existe alerta de registro de actividad para la asignación de política de eliminación,"La supervisión de los eventos de creación de asignaciones de políticas brinda información sobre los cambios realizados en ""Asignaciones de políticas de Azure"" y puede reducir el tiempo que lleva detectar cambios no solicitados.",Bajo
Algunos protectores de cifrado de datos transparente (TDE) del servidor SQL no están cifrados con la clave administrada por el cliente,"La compatibilidad con claves administradas por el cliente para el cifrado de datos transparente (TDE) permite al usuario controlar las claves de cifrado de TDE y restringe quién puede acceder a ellas y cuándo. Azure Key Vault, el sistema de administración de claves externo basado en la nube de Azure, es el primer servicio de administración de claves en el que TDE tiene compatibilidad integrada con claves administradas por el cliente. Con la compatibilidad con claves administradas por el cliente, la clave de cifrado de la base de datos está protegida por una clave asimétrica almacenada en Key Vault. La clave asimétrica se establece en el nivel del servidor y la heredan todas las bases de datos de ese servidor.",Bajo
Algunas bases de datos SQL de Azure permiten el ingreso desde 0.0.0.0/0 (CUALQUIER IP),"Azure SQL Server incluye un firewall para bloquear el acceso a conexiones no autorizadas. Se pueden definir direcciones IP más granulares haciendo referencia al rango de direcciones disponibles de centros de datos específicos. De forma predeterminada, para un servidor SQL, existe un firewall con StartIp de 0.0.0.0 y EndIP de 0.0.0.0 que permite el acceso a todos los servicios de Azure. Además, se puede configurar una regla personalizada con StartIp de 0.0.0.0 y EndIP de 255.255.255.255 que permite el acceso desde CUALQUIER IP a través de Internet. Para reducir la superficie de ataque potencial para un servidor SQL, las reglas de firewall se deben definir con direcciones IP más granulares haciendo referencia al rango de direcciones disponibles de centros de datos específicos.",Bajo
La retención de auditoría no es mayor a 90 días,Los registros de auditoría se pueden utilizar para verificar anomalías y brindar información sobre presuntas infracciones o uso indebido de la información y el acceso.,Bajo
Configuración: 'Se requiere transferencia segura' no está configurado como 'Habilitado' para algunas cuentas de almacenamiento.,"La opción de transferencia segura mejora la seguridad de una cuenta de almacenamiento al permitir únicamente solicitudes a la cuenta de almacenamiento mediante una conexión segura. Por ejemplo, al llamar a las API de REST para acceder a las cuentas de almacenamiento, la conexión debe utilizar HTTPS. Cualquier solicitud que utilice HTTP se rechazará cuando se habilite la opción ""transferencia segura requerida"". Al utilizar el servicio de archivos de Azure, la conexión sin cifrado fallará, incluidos los escenarios que utilizan SMB 2.1, SMB 3.0 sin cifrado y algunas versiones del cliente SMB de Linux. Debido a que el almacenamiento de Azure no admite HTTPS para nombres de dominio personalizados, esta opción no se aplica cuando se utiliza un nombre de dominio personalizado.",Bajo
"Asegúrese de que Microsoft Defender para IoT Hub esté configurado como ""Activado""",Los dispositivos IoT rara vez reciben parches y pueden ser vectores de ataque potenciales para las redes empresariales. Actualizar la configuración de la red para utilizar un centro de seguridad central permite detectar estas infracciones,Bajo
La 'replicación entre inquilinos' está habilitada,"Deshabilitar la replicación entre inquilinos minimiza el riesgo de acceso no autorizado a los datos y garantiza que se cumplan estrictamente las políticas de gobernanza de datos. Este control es especialmente crítico para las organizaciones con requisitos estrictos de seguridad y privacidad de datos, ya que evita el intercambio accidental de información confidencial.",Bajo
La versión mínima de TLS para algunas cuentas de almacenamiento no está configurada en la versión mínima 1.2,TLS 1.0 tiene vulnerabilidades conocidas y ha sido reemplazado por versiones posteriores del protocolo TLS. El uso continuo de este protocolo heredado afecta la seguridad de los datos en tránsito.,Bajo
