Configuración,Valor Predeterminado,Enlace
Desactivar la prevención de ejecución de datos para el Explorador,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-fileexplorer?WT.mc_id=Portal-fx#turnoffdataexecutionpreventionforexplorer
Desactivar la terminación del montón en caso de daños,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-fileexplorer?WT.mc_id=Portal-fx#turnoffheapterminationoncorruption
Permitir que el software se ejecute o instale incluso si la firma no es válida,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#allowsoftwarewhensignatureisinvalid
Comprobación de la revocación de certificados de servidor,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#checkservercertificaterevocation
Comprobación de firmas en los programas descargados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#checksignaturesondownloadedprograms
No permitir que los controles ActiveX se ejecuten en modo protegido cuando esté habilitado el modo protegido mejorado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#donotallowactivexcontrolsinprotectedmode
Desactivar la compatibilidad con cifrado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disableencryptionsupport
Combinaciones de protocolo seguro,usar TLS 1.1 y TLS 1.2,Sin enlace
Activar procesos de tabulación de 64 bits al ejecutarse en modo protegido mejorado en versiones de 64 bits de Windows,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disableprocessesinenhancedprotectedmode
Activar el modo protegido mejorado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#allowenhancedprotectedmode
Evitar omitir errores de certificado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#disableignoringcertificateerrors
Acceso a orígenes de datos entre dominios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowaccesstodatasources
Acceso a orígenes de datos entre dominios,Deshabilitar,Sin enlace
"Permitir operaciones de cortar, copiar o pegar desde el Portapapeles mediante script",habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowcopypasteviascript
Permitir operaciones de pegado mediante script,Deshabilitar,Sin enlace
Permitir arrastrar y colocar o copiar y pegar archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowdraganddropcopyandpastefiles
Permitir arrastrar y colocar o copiar y pegar archivos,Deshabilitar,Sin enlace
Permitir la carga de archivos XAML,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowloadingofxamlfiles
Archivos XAML,Deshabilitar,Sin enlace
Permitir que solo los dominios aprobados usen controles ActiveX sin preguntar,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowonlyapproveddomainstouseactivexcontrols
Permitir solo que los dominios aprobados usen controles ActiveX sin preguntar,Habilitar,Sin enlace
Permitir que solo los dominios aprobados usen el control ActiveX de TDC,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowonlyapproveddomainstousetdcactivexcontrol
Permitir solo que los dominios aprobados usen el control ActiveX de TDC,Habilitar,Sin enlace
Permitir ventanas iniciadas por script sin restricciones de tamaño o posición,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowscriptinitiatedwindows
Permitir ventanas iniciadas por script sin restricciones de tamaño o posición,Deshabilitar,Sin enlace
Permitir scripting de controles WebBrowser de Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowscriptingofinternetexplorerwebbrowsercontrols
Control de explorador web de Internet Explorer,Deshabilitar,Sin enlace
Permitir scriptlets,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowscriptlets
Scriptlets,Deshabilitar,Sin enlace
Permitir actualizaciones en la barra de estado mediante script,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowupdatestostatusbarviascript
Actualizaciones de la barra de estado mediante script,Deshabilitar,Sin enlace
Permitir que VBScript se ejecute en Internet Explorer,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowvbscripttorunininternetexplorer
Permitir que VBScript se ejecute en Internet Explorer,Deshabilitar,Sin enlace
Solicitud automática de descargas de archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowautomaticpromptingforfiledownloads
Solicitud automática de descargas de archivos,Deshabilitar,Sin enlace
No ejecutar programas antimalware en controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonedonotrunantimalwareagainstactivexcontrols
No ejecutar programas antimalware en controles ActiveX,Deshabilitar,Sin enlace
Descarga de controles ActiveX firmados,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonedownloadsignedactivexcontrols
Descarga de controles ActiveX firmados,Deshabilitar,Sin enlace
Descarga de controles ActiveX sin firmar,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonedownloadunsignedactivexcontrols
Descarga de controles ActiveX sin firmar,Deshabilitar,Sin enlace
Habilitación del arrastre de contenido desde distintos dominios entre ventanas,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneenabledraggingofcontentfromdifferentdomainsacrosswindows
Habilitación del arrastre de contenido desde distintos dominios entre ventanas,Deshabilitar,Sin enlace
Habilitación del arrastre de contenido desde distintos dominios dentro de una ventana,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneenabledraggingofcontentfromdifferentdomainsacrosswindows
Habilitación del arrastre de contenido desde distintos dominios dentro de una ventana,Deshabilitar,Sin enlace
Incluir ruta de acceso local cuando el usuario carga archivos en un servidor,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneincludelocalpathwhenuploadingfilestoserver
Incluir ruta de acceso local cuando el usuario carga archivos en un servidor,Deshabilitar,Sin enlace
Inicializar y crear scripts de controles ActiveX no marcados como seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneinitializeandscriptactivexcontrols
Inicializar y crear scripts de controles ActiveX no marcados como seguros,Deshabilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Inicio de aplicaciones y archivos en un IFRAME,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonelaunchingapplicationsandfilesiniframe
Inicio de aplicaciones y archivos en un IFRAME,Deshabilitar,Sin enlace
Opciones de inicio de sesión,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonelogonoptions
Opciones de inicio de sesión,solicitud de nombre de usuario y contraseña,Sin enlace
Navegar por ventanas y marcos en distintos dominios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonenavigatewindowsandframes
Navegar por ventanas y marcos en distintos dominios,Deshabilitar,Sin enlace
Ejecución de componentes dependientes de .NET Framework no firmados con Authenticode,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallownetframeworkreliantcomponents
Ejecución de componentes dependientes de .NET Framework no firmados con Authenticode,Deshabilitar,Sin enlace
Ejecución de componentes dependientes de .NET Framework firmados con Authenticode,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzonerunnetframeworkreliantcomponentssignedwithauthenticode
Ejecución de componentes dependientes de .NET Framework firmados con Authenticode,Deshabilitar,Sin enlace
Mostrar advertencia de seguridad para archivos potencialmente no seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneshowsecuritywarningforpotentiallyunsafefiles
Inicio de programas y archivos no seguros,preguntar,Sin enlace
Activar el filtro de scripting entre sitios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneenablecrosssitescriptingfilter
Activar el filtro de scripting entre sitios (XSS),Habilitar,Sin enlace
Activar el modo protegido,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneenableprotectedmode
Modo protegido,Habilitar,Sin enlace
Activar el examen de filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowsmartscreenie
Uso del filtro SmartScreen,Habilitar,Sin enlace
Persistencia de userdata,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowuserdatapersistence
Persistencia de userdata,Deshabilitar,Sin enlace
Los sitios web de zonas de contenido web con menos privilegios pueden navegar a esta zona,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#internetzoneallowlessprivilegedsites
Los sitios web de zonas de contenido web con menos privilegios pueden navegar a esta zona,Deshabilitar,Sin enlace
Sitios de intranet: incluir todas las rutas de acceso de red (UNC),deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#includeallnetworkpaths
Activar la advertencia de error de coincidencia de direcciones de certificado,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#allowcertificateaddressmismatchwarning
No ejecutar programas antimalware en controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#intranetzonedonotrunantimalwareagainstactivexcontrols
No ejecutar programas antimalware en controles ActiveX,Deshabilitar,Sin enlace
Inicializar y crear scripts de controles ActiveX no marcados como seguros,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#intranetzoneinitializeandscriptactivexcontrols
Inicializar y crear scripts de controles ActiveX no marcados como seguros,Deshabilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#intranetzonejavapermissions
Permisos de Java,alta seguridad,Sin enlace
No ejecutar programas antimalware en controles ActiveX,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#localmachinezonedonotrunantimalwareagainstactivexcontrols
No ejecutar programas antimalware en controles ActiveX,Deshabilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#localmachinezonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Activar el examen de filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddowninternetzoneallowsmartscreenie
Uso del filtro SmartScreen,Habilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddownintranetjavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddownlocalmachinezonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddownlocalmachinezonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Activar el examen de filtro SmartScreen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddownrestrictedsiteszoneallowsmartscreenie
Uso del filtro SmartScreen,Habilitar,Sin enlace
Permisos de Java,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#lockeddowntrustedsiteszonejavapermissions
Permisos de Java,Deshabilitar Java,Sin enlace
Acceso a orígenes de datos entre dominios,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowaccesstodatasources
Acceso a orígenes de datos entre dominios,Deshabilitar,Sin enlace
Permitir scripting activo,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowactivescripting
Permitir scripting activo,Deshabilitar,Sin enlace
Permitir comportamientos binarios y de script,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowbinaryandscriptbehaviors
Permitir comportamientos binarios y de script,Deshabilitar,Sin enlace
"Permitir operaciones de cortar, copiar o pegar desde el Portapapeles mediante script",habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowcopypasteviascript
Permitir operaciones de pegado mediante script,Deshabilitar,Sin enlace
Permitir arrastrar y colocar o copiar y pegar archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowdraganddropcopyandpastefiles
Permitir arrastrar y colocar o copiar y pegar archivos,Deshabilitar,Sin enlace
Permitir descargas de archivos,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowfiledownloads
Permitir descargas de archivos,Deshabilitar,Sin enlace
Permitir la carga de archivos XAML,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowloadingofxamlfiles
Archivos XAML,Deshabilitar,Sin enlace
Permitir ACTUALIZACIÓN META,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowmetarefresh
Permitir ACTUALIZACIÓN META,Deshabilitar,Sin enlace
Permitir que solo los dominios aprobados usen controles ActiveX sin preguntar,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-internetexplorer?WT.mc_id=Portal-fx#restrictedsiteszoneallowonlyapproveddomainstouseactivexcontrols
